"collection","response","level","interface",".lower",".epred",".upper"
"Robust Trial","ae","Level-1","Static+Full",2.87261911686911,3.5089456182485,4.30158519657648
"Robust Trial","ae","Level-2","NetHOPs+Bandit",16.9446118651104,20.8292795075826,25.2619893091446
"Robust Trial","ae","Level-2","NetHOPs+Full",17.4706174744735,20.5268819838107,24.3563429548334
"Robust Trial","ae","Level-2","Static+Bandit",22.3114958815836,27.2552149448498,33.7123128862399
"Robust Trial","ae","Level-2","Static+Full",15.7984078366433,18.1826778242705,21.2175047620825
"Robust Trial","ds","NA","NetHOPs+Bandit",3.06631200709061,4.7571158970397,7.78814196416632
"Robust Trial","ds","NA","NetHOPs+Full",2.47879506940162,4.07949004228755,6.49618372864309
"Robust Trial","ds","NA","Static+Bandit",5.2798220584034,7.69561688695112,11.2351232578884
"Robust Trial","ds","NA","Static+Full",2.09979884238385,3.38935213052517,5.18180406053386
"Robust Trial","ratio","NA","NetHOPs+Bandit",0.855539114228609,0.870978834260461,0.885375048143883
"Robust Trial","ratio","NA","NetHOPs+Full",0.860036366260652,0.876333250577963,0.889800735264174
"Robust Trial","ratio","NA","Static+Bandit",0.856937364593845,0.871696128957644,0.886106208704268
"Robust Trial","ratio","NA","Static+Full",0.864049119455321,0.877097350783468,0.893464564912955
"Robust Comp.","br","Level-2","NetHOPs+Bandit",0.238250658754598,0.581905781696291,0.884736628236702
"Robust Comp.","br","Level-2","NetHOPs+Full",0.416674850632455,0.852945223068296,0.994469196228153
"Robust Comp.","br","Level-2","Static+Bandit",0.690894579325351,0.849310247586432,0.961153448178462
"Robust Comp.","br","Level-2","Static+Full",0.563631541433818,0.885467980133571,0.994631405227304
"Robust Comp.","ae","Level-2","NetHOPs+Bandit",39.1893716696038,45.2193773240331,52.4813517835545
"Robust Comp.","ae","Level-2","NetHOPs+Full",28.9649548229163,34.8303518973453,42.2183463618769
"Robust Comp.","ae","Level-2","Static+Bandit",43.9915236084153,51.6726402878498,61.0917453970578
"Robust Comp.","ae","Level-2","Static+Full",27.4556691199617,31.5247492080343,35.7861076671783
"Robust Comp.","ds","NA","NetHOPs+Bandit",2.94036474726803,5.26725091698839,9.24207093848871
"Robust Comp.","ds","NA","NetHOPs+Full",2.42618662823069,4.62003994651521,8.54989081499907
"Robust Comp.","ds","NA","Static+Bandit",2.6068030570765,4.89732348692864,8.19208718692898
"Robust Comp.","ds","NA","Static+Full",2.47557085342757,3.85044389926233,6.39568295397092
"Robust Comp.","ratio","NA","NetHOPs+Bandit",0.85254146563366,0.900666218949427,0.948676283814498
"Robust Comp.","ratio","NA","NetHOPs+Full",0.851076738668515,0.880506369223796,0.914048735484846
"Robust Comp.","ratio","NA","Static+Bandit",0.858350455971905,0.895533090487467,0.934487009922241
"Robust Comp.","ratio","NA","Static+Full",0.810415511922015,0.857684092858436,0.893336379204486
